Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Canada,North America,9.5,13.92,9.8,12.32,168.13,72.6,Measured,890,"Siminoski K. et all. The relationships among height, penile length, and foot size. Ann Sex Res 1993",1.4652631578947368,1.2571428571428571,2.315840220385675
Cape Verde,Africa,9.6,14.05,10,12.38,171.36,76.39,Measured,57,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.4635416666666667,1.238,2.243225553082864
Central African Rep.,Africa,9.8,15.33,9.8,12.07,177.72,74.9,Self reported,59,African Journal of Urology 1998,1.5642857142857143,1.2316326530612245,2.372763684913217
Chad,Africa,9.8,15.39,9.8,12.12,179.9,74.9,Measured,201,Central Hospital of N'Djaména  1989,1.570408163265306,1.2367346938775508,2.4018691588785046
Chile,South America,9.2,14.59,9.6,12.28,175.08,67.47,Measured,789,Otero Andrade. Fabio. 2008 Universidad de Chile. Dpt. de Urologia. 1998,1.5858695652173913,1.2791666666666666,2.5949310804802135
China,Asia,8.8,12.9,8.9,11.14,127.39,55.47,Measured,8976,Chen XB. Li RX. Yang HN. Dai JC. 2014,1.4659090909090908,1.2516853932584269,2.2965566973138634
Colombia,South America,10.5,16.75,10.1,12.98,224.57,85.24,Measured,2479,18 year's old Military survey. Otero Andrade. Fabio E. y Cajigas Plata. Jaime Andrés. Bogo. 2008,1.5952380952380953,1.2851485148514852,2.6345612388549977
Congo-Brazzaville,Africa,11,17.33,10.3,12.74,223.83,92.87,Measured,157,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.5754545454545452,1.236893203883495,2.410143210940024
Costa Rica,Central America/Caribean,9.6,13.81,8.9,11.25,139.09,60.51,Measured,1800,"Journal of Urology, Revised 2015",1.4385416666666668,1.2640449438202246,2.298628325896546
Cote d'Ivoire,Africa,10.4,15.22,9.9,12.27,182.35,81.11,Measured,120,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.4634615384615384,1.2393939393939393,2.2481814819381087
Croatia,Europe,11.8,14.77,10.4,12.99,198.33,101.56,Self reported,521,https://www.surveymonkey.com - 2015,1.2516949152542372,1.2490384615384615,1.9528357621110675
Cuba,Central America/Caribean,11,15.87,9.6,12.13,185.82,80.67,Measured,289,Journal of Sexology 2002,1.4427272727272726,1.2635416666666668,2.3034585347712904
Cyprus,Western Asia,8.3,12.17,8.9,11.59,130.09,52.32,Measured,400,Genital size measure survey 2015,1.4662650602409637,1.3022471910112359,2.4864296636085625
Czech Republic,Europe,11.3,14.17,9.3,11.65,153.04,77.77,Self reported,1500,Internacionalizaci Univerzity v Praze. 2001,1.2539823008849558,1.2526881720430108,1.9678539282499679
Denmark,Europe,12,15.07,10.6,13.26,210.86,107.3,Measured,854,University of Copenhagen - Urological Research Center and Andrology 2015,1.2558333333333334,1.2509433962264151,1.9651444547996273
Dominican Republic,Central America/Caribean,11.1,15.99,9.6,12.17,188.46,81.41,Self reported,460,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis lengthand circumference and r-K life history theory in 113 populations,1.4405405405405407,1.2677083333333334,2.3149490234614913
DR Congo,Africa,11.4,17.93,10.6,13.05,242.99,101.93,Self reported,575,l’Universite Kongo / Mbanza-Luvaka. 1997,1.5728070175438595,1.2311320754716981,2.3838909055233986
Ecuador,South America,11.1,17.59,10.5,13.44,252.85,97.38,Measured,1e3,"University of Guayaquil, Ecuador- Dr. Cesar Cabezas Tamayo Guayaquil. 2013",1.5846846846846847,1.28,2.596529061408914
Egypt,Africa,9.4,13.85,9.8,12.11,161.63,71.84,Measured,2036,Shalaby ME. Almohsen AE. El Shahid AR. Abd Al-Sameaa MT. Mostafa T. 2014,1.4734042553191489,1.2357142857142855,2.249860801781737
El Salvador,Central America/Caribean,8.8,12.71,8.5,10.75,116.88,50.6,Measured,127,"Centro integral de urologia, Universidad Evangélica de El Salvador, 2015",1.4443181818181818,1.2647058823529411,2.309881422924901
Estonia,Europe,11,13.78,10,12.54,172.44,87.54,Measured,847,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.2527272727272727,1.254,1.9698423577793007
Ethiopia,Africa,9.2,13.53,9.8,12.18,159.73,70.31,Self reported,89,Ethiopian Military health documention database (Extracted on 11 january 1980),1.4706521739130436,1.2428571428571427,2.271796330536197
Finland,Europe,9.2,13.59,8.9,11.2,135.66,57.99,Measured,426,Helsinki University Central Hospital - 2015,1.4771739130434784,1.2584269662921348,2.339368856699431
France,Europe,9.9,14.5,10.9,13.63,214.36,93.6,Measured,3260,Paris National Academy of Surgery (l'Academie nationale de chirurgie) 2011,1.4646464646464645,1.2504587155963303,2.2901709401709405
Gambia,Africa,10.3,15.07,9.4,11.68,163.6,72.42,Self reported,83,https://www.surveymonkey.com - 2015,1.4631067961165047,1.2425531914893617,2.259044462855565
Georgia,Europe,9.4,13.87,9.2,11.46,144.96,63.31,Measured,97,Genital size survey 2015 Everyoneweb measurement,1.4755319148936168,1.2456521739130437,2.2896856736692466
Germany,Europe,9.9,14.48,9.9,12.4,177.17,77.21,Measured,231,Schneider T.. Sperling H. Lümmen G. Syllwasschy J. Rübben H. 2001,1.4626262626262627,1.2525252525252526,2.2946509519492295
Ghana,Africa,11,17.31,10.3,12.79,225.33,92.87,Self reported,233,Noguchi Memorial Institute for Medical Research (NMIMR) 2001,1.5736363636363635,1.2417475728155338,2.4262948207171315
Greece,Europe,8.9,12.18,9.5,11.92,137.72,63.92,Measured,579,Spyropoulos E.. Borousas D. Mavrikos S. Dellis A. Bourounis M. Athanasiadis S.,1.3685393258426966,1.2547368421052632,2.1545682102628283
Greenland,North America,9.4,13.87,9.8,12.3,166.98,71.84,Self reported,84,Genital size survey 2012 (http://genitalsize.com),1.4755319148936168,1.2551020408163265,2.324331848552338
Guatemala,Central America/Caribean,9.2,13.24,8.7,11,127.49,55.41,Measured,50,Longitud y grosor del pene - Hospital General de Enfermedades. Instituto Guatemalteco de Seguridad Social,1.4391304347826088,1.264367816091954,2.3008482223425375
Guyana,South America,9.3,14.75,8.7,11.08,144.1,56.02,Measured,133,Genital size measure survey 2015,1.586021505376344,1.2735632183908048,2.5722956087111744
Haiti,Central America/Caribean,10.8,15.67,9.5,12.1,182.57,77.56,Self reported,380,https://www.surveymonkey.com - 2015,1.4509259259259257,1.2736842105263158,2.353919546157813
Hawaii,Pacific Islands,9.1,13.21,9.1,11.5,139.02,59.97,Measured,120,Genital size measure survey 2015,1.4516483516483518,1.2637362637362637,2.31815907953977
Honduras,Central America/Caribean,8.6,12.4,8.7,11.05,120.49,51.8,Measured,100,"Estudio: Datos sobre el pene , El Heraldo Junio 2015 tag/715212-213",1.4418604651162792,1.270114942528736,2.326061776061776
